index,ALGORITMO,FACTOR,BLOQUE,IMAGEN,REPETICION,Q
0,interpolation,x4,1080,65,1,0.9912506582352902
1,bspline,x4,256,47,2,0.9786496738332666
2,bspline,x2,1080,23,1,0.9947298512910492
3,bspline,x4,256,78,1,0.9580870136323746
4,bspline,x2,256,71,2,0.984566433714148
5,interpolation,x4,256,64,2,0.7670444308014676
6,bspline,x2,256,64,2,0.8736490818164286
7,bspline,x4,1080,1,1,0.9960414204519276
8,interpolation,x2,256,10,1,0.9800707414900952
9,interpolation,x4,1080,11,2,0.994434211173048
10,interpolation,x2,1080,72,1,0.998363038294528
11,interpolation,x2,1080,71,1,0.9974851228542966
12,interpolation,x2,256,64,2,0.8873480101391852
13,bspline,x4,256,65,1,0.9792337251590794
14,interpolation,x4,1080,11,1,0.994434211173048
15,interpolation,x4,256,19,1,0.9876573059756993
16,bspline,x4,1080,72,2,0.9904228632186844
17,interpolation,x4,256,4,2,0.9360313040770484
18,interpolation,x4,256,3,2,0.9506529550116313
19,interpolation,x2,1080,72,2,0.998363038294528
20,bspline,x4,256,31,1,0.9945306984881994
21,interpolation,x4,1080,49,1,0.9926389396521843
22,interpolation,x4,1080,16,2,0.9967662435866499
23,bspline,x2,256,64,1,0.8736490818164286
24,interpolation,x2,256,66,2,0.9967918155594956
25,bspline,x4,1080,51,2,0.992184837565495
26,interpolation,x4,1080,69,1,0.9927607222267425
27,interpolation,x2,256,41,2,0.9910411541682651
28,interpolation,x4,1080,76,1,0.9917941396143448
29,bspline,x4,1080,71,2,0.9868275347755913
30,interpolation,x4,256,64,1,0.7670444308014676
31,bspline,x4,1080,80,1,0.9764522490561143
32,interpolation,x2,1080,51,2,0.9986413165383676
33,bspline,x2,256,10,2,0.9725882554865154
34,interpolation,x2,1080,29,2,0.9992695887326237
35,bspline,x4,1080,27,1,0.9945180080891123
36,interpolation,x2,256,69,2,0.9919779035300655
37,interpolation,x2,256,64,1,0.8873480101391852
38,bspline,x4,1080,15,2,0.9966111782184406
39,interpolation,x4,1080,69,2,0.9927607222267425
40,interpolation,x2,1080,40,1,0.9988145625026835
41,interpolation,x2,256,73,2,0.9719432237799713
42,bspline,x4,1080,6,2,0.9950955404058359
43,bspline,x2,1080,54,1,0.9965784641196277
44,bspline,x2,256,79,2,0.9852333922581642
45,bspline,x2,256,26,2,0.9660098388966256
46,interpolation,x2,256,50,2,0.9821330991133065
47,interpolation,x4,1080,3,2,0.990171492433478
48,interpolation,x4,256,79,1,0.9669829287044865
49,interpolation,x4,1080,65,2,0.9912506582352902
50,bspline,x2,256,71,1,0.984566433714148
51,bspline,x2,1080,23,2,0.9947298512910492
52,interpolation,x2,256,69,1,0.9919779035300655
53,interpolation,x4,256,10,2,0.9403953048799253
54,bspline,x2,256,27,2,0.9901060842994786
55,interpolation,x2,1080,9,1,0.9986436714440294
56,interpolation,x2,256,50,1,0.9821330991133065
57,interpolation,x2,1080,30,2,0.9992531470867353
58,interpolation,x4,256,26,1,0.9239468568300132
59,bspline,x2,256,52,1,0.9782318026249079
60,bspline,x4,256,68,1,0.9336941579123137
61,bspline,x4,1080,36,2,0.9945447566104995
62,interpolation,x4,1080,80,2,0.9755061669405114
63,bspline,x2,1080,54,2,0.9965784641196277
64,bspline,x2,1080,78,1,0.9965270080914502
65,bspline,x4,256,48,1,0.8466712524685698
66,bspline,x2,256,55,1,0.9980122788183587
67,bspline,x2,256,75,1,0.9760786097511754
68,bspline,x4,1080,1,2,0.9960414204519276
69,interpolation,x4,256,19,2,0.9876573059756993
70,bspline,x2,256,52,2,0.9782318026249079
71,bspline,x4,1080,80,2,0.9764522490561143
72,bspline,x2,1080,60,2,0.9960921950662602
73,bspline,x2,256,79,1,0.9852333922581642
74,interpolation,x4,256,4,1,0.9360313040770484
75,bspline,x4,1080,53,1,0.9904633106099066
76,bspline,x2,1080,59,1,0.9960500453602497
77,bspline,x4,256,47,1,0.9786496738332666
78,bspline,x2,1080,27,2,0.9978628210921107
79,bspline,x2,1080,70,1,0.9957626712082366
80,interpolation,x2,256,71,2,0.9851925106276723
81,interpolation,x4,1080,8,1,0.9914288188176003
82,interpolation,x4,1080,16,1,0.9967662435866499
83,interpolation,x2,256,73,1,0.9719432237799713
84,interpolation,x4,256,10,1,0.9403953048799253
85,bspline,x4,1080,53,2,0.9904633106099066
86,bspline,x4,256,5,2,0.9537962697333764
87,bspline,x4,256,48,2,0.8466712524685698
88,interpolation,x4,256,57,2,0.9647477459524548
89,bspline,x4,1080,27,2,0.9945180080891123
90,bspline,x4,256,35,1,0.9443420499186561
91,bspline,x4,256,9,1,0.9748810189301066
92,bspline,x2,1080,48,2,0.9973237559438318
93,interpolation,x4,1080,8,2,0.9914288188176003
94,bspline,x4,1080,6,1,0.9950955404058359
95,bspline,x4,256,31,2,0.9945306984881994
96,bspline,x2,256,75,2,0.9760786097511754
97,bspline,x4,1080,36,1,0.9945447566104995
98,interpolation,x4,256,32,2,0.9435205720363993
99,bspline,x4,1080,15,1,0.9966111782184406
100,interpolation,x2,1080,51,1,0.9986413165383676
101,interpolation,x4,1080,49,2,0.9926389396521843
102,interpolation,x4,1080,80,1,0.9755061669405114
103,bspline,x2,1080,59,2,0.9960500453602497
104,bspline,x2,1080,44,1,0.9978149996311386
105,interpolation,x2,256,71,1,0.9851925106276723
106,bspline,x2,256,55,2,0.9980122788183587
107,interpolation,x2,256,10,2,0.9800707414900952
108,interpolation,x2,1080,7,1,0.9985158045490558
109,interpolation,x2,256,66,1,0.9967918155594956
110,bspline,x2,1080,70,2,0.9957626712082366
111,interpolation,x2,1080,74,2,0.9985996803263372
112,interpolation,x4,1080,64,2,0.9870863551275205
113,interpolation,x4,256,78,1,0.9452210640219105
114,bspline,x2,1080,60,1,0.9960921950662602
115,bspline,x4,1080,71,1,0.9868275347755913
116,interpolation,x2,256,41,1,0.9910411541682651
117,interpolation,x2,1080,30,1,0.9992531470867353
118,bspline,x4,1080,51,1,0.992184837565495
119,bspline,x2,256,47,1,0.9911653778707303
120,bspline,x2,256,27,1,0.9901060842994786
121,interpolation,x2,1080,40,2,0.9988145625026835
122,bspline,x2,1080,78,2,0.9965270080914502
123,interpolation,x4,256,79,2,0.9669829287044865
124,interpolation,x2,1080,74,1,0.9985996803263372
125,interpolation,x4,1080,64,1,0.9870863551275205
126,interpolation,x4,256,57,1,0.9647477459524548
127,bspline,x4,256,29,1,0.9896383587468557
128,interpolation,x4,1080,76,2,0.9917941396143448
129,bspline,x2,256,26,1,0.9660098388966256
130,interpolation,x2,256,9,2,0.991537323233335
131,bspline,x4,256,65,2,0.9792337251590794
132,interpolation,x2,1080,52,2,0.9989494993946032
133,bspline,x4,256,5,1,0.9537962697333764
134,interpolation,x4,256,3,1,0.9506529550116313
135,bspline,x4,256,9,2,0.9748810189301066
136,interpolation,x4,256,26,2,0.9239468568300132
137,interpolation,x4,256,32,1,0.9435205720363993
138,bspline,x2,1080,27,1,0.9978628210921107
139,interpolation,x4,256,78,2,0.9452210640219105
140,bspline,x4,1080,72,1,0.9904228632186844
141,bspline,x2,1080,44,2,0.9978149996311386
142,interpolation,x2,1080,7,2,0.9985158045490558
143,bspline,x2,1080,17,1,0.9987397029279464
144,bspline,x2,1080,48,1,0.9973237559438318
145,interpolation,x2,256,6,2,0.9973456364553307
146,bspline,x2,256,10,1,0.9725882554865154
147,interpolation,x2,256,6,1,0.9973456364553307
148,bspline,x2,256,47,2,0.9911653778707303
149,bspline,x2,1080,17,2,0.9987397029279464
150,interpolation,x2,256,9,1,0.991537323233335
151,interpolation,x2,1080,9,2,0.9986436714440294
152,interpolation,x2,1080,52,1,0.9989494993946032
153,interpolation,x2,1080,71,2,0.9974851228542966
154,interpolation,x4,1080,3,1,0.990171492433478
155,bspline,x4,256,35,2,0.9443420499186561
156,bspline,x4,256,29,2,0.9896383587468557
157,bspline,x4,256,78,2,0.9580870136323746
158,interpolation,x2,1080,29,1,0.9992695887326237
159,bspline,x4,256,68,2,0.9336941579123137
